Time,Price,Trade Size,Type
17:04:00,1.56,10000,Auction
17:04:00,1.56,161300,Auction
17:04:00,1.56,6000,Auction
17:04:00,1.56,92300,Auction
17:04:00,1.56,100000,Auction
17:04:00,1.56,42600,Auction
17:04:00,1.56,50000,Auction
17:04:00,1.56,15100,Auction
17:04:00,1.56,7900,Auction
17:04:00,1.56,400,Auction
17:04:00,1.56,6600,Auction
17:04:00,1.56,25900,Auction
17:04:00,1.56,20300,Auction
17:04:00,1.56,400,Auction
17:04:00,1.56,3400,Auction
17:04:00,1.56,4700,Auction
17:04:00,1.56,18000,Auction
17:04:00,1.56,400,Auction
17:04:00,1.56,2700,Auction
17:04:00,1.56,400,Auction
17:04:00,1.56,4100,Auction
17:04:00,1.56,300,Auction
17:04:00,1.56,37300,Auction
17:04:00,1.56,12700,Auction
17:04:00,1.56,1400,Auction
17:04:00,1.56,26500,Auction
17:04:00,1.56,24500,Auction
17:04:00,1.56,300,Auction
17:04:00,1.56,27900,Auction
17:04:00,1.56,1400,Auction
17:04:00,1.56,99400,Auction
17:04:00,1.56,31400,Auction
17:04:00,1.56,23900,Auction
17:04:00,1.56,200,Auction
17:04:00,1.56,2900,Auction
17:04:00,1.56,2200,Auction
17:04:00,1.56,1800,Auction
17:04:00,1.56,100,Auction
17:04:00,1.56,5200,Auction
17:04:00,1.56,2200,Auction
17:04:00,1.56,700,Auction
17:04:00,1.56,36300,Auction
17:04:00,1.56,3400,Auction
17:04:00,1.56,31800,Auction
17:04:00,1.56,15100,Auction
17:04:00,1.56,19700,Auction
17:04:00,1.56,23800,Auction
17:04:00,1.56,600,Auction
17:04:00,1.56,100,Auction
17:04:00,1.56,4700,Auction
17:04:00,1.56,6300,Auction
17:04:00,1.56,23800,Auction
17:04:00,1.56,600,Auction
17:04:00,1.56,5900,Auction
17:04:00,1.56,2000,Auction
17:04:00,1.56,3300,Auction
17:04:00,1.56,166200,Auction
17:04:00,1.56,126500,Auction
17:04:00,1.56,21200,Auction
17:04:00,1.56,2300,Auction
17:04:00,1.56,10100,Auction
16:59:59,1.56,100,Buy Up
16:59:57,1.55,1500,Sell Down
16:59:56,1.55,1900,Sell Down
16:59:54,1.56,500,Buy Up
16:59:53,1.56,3100,Buy Up
16:59:53,1.55,3600,Sell Down
16:59:50,1.56,2800,Buy Up
16:59:50,1.56,200,Buy Up
16:59:50,1.55,8100,Sell Down
16:59:49,1.55,900,Sell Down
16:59:48,1.56,100,Buy Up
16:59:46,1.56,200,Buy Up
16:59:46,1.56,100,Buy Up
16:59:46,1.56,3700,Buy Up
16:59:46,1.55,3500,Sell Down
16:59:43,1.56,2100,Buy Up
16:59:43,1.55,4100,Sell Down
16:59:41,1.56,1600,Buy Up
16:59:41,1.56,900,Buy Up
16:59:38,1.56,9300,Buy Up
16:59:37,1.56,4300,Buy Up
16:59:33,1.56,500,Buy Up
16:59:30,1.56,3500,Buy Up
16:59:30,1.56,4300,Buy Up
16:59:30,1.55,400,Sell Down
16:59:30,1.55,4400,Sell Down
16:59:27,1.55,12400,Sell Down
16:59:27,1.55,100,Sell Down
16:59:27,1.55,100,Sell Down
16:59:27,1.56,5800,Buy Up
16:59:25,1.55,100,Sell Down
16:59:25,1.56,68900,Buy Up
16:59:25,1.56,100,Buy Up
16:59:24,1.56,500,Buy Up
16:59:21,1.56,500,Buy Up
16:59:21,1.56,300,Buy Up
16:59:21,1.55,10000,Sell Down
16:59:21,1.55,100,Sell Down
16:59:21,1.55,8900,Sell Down
16:59:21,1.55,1500,Sell Down
16:59:21,1.55,2000,Sell Down
16:59:21,1.55,100,Sell Down
16:59:21,1.55,800,Sell Down
16:59:21,1.55,500,Sell Down
16:59:21,1.55,4000,Sell Down
16:59:21,1.55,100,Sell Down
16:59:21,1.55,900,Sell Down
16:59:21,1.55,500,Sell Down
16:59:21,1.55,500,Sell Down
16:59:21,1.56,200,Buy Up
16:59:20,1.56,2900,Buy Up
16:59:20,1.56,500,Buy Up
16:59:20,1.55,10100,Sell Down
16:59:20,1.55,100,Sell Down
16:59:20,1.55,100,Sell Down
16:59:20,1.55,1000,Sell Down
16:59:20,1.55,100,Sell Down
16:59:20,1.55,100,Sell Down
16:59:20,1.55,1900,Sell Down
16:59:20,1.55,100,Sell Down
16:59:20,1.55,22200,Sell Down
16:59:20,1.55,200,Sell Down
16:59:20,1.55,4200,Sell Down
16:59:20,1.56,100,Buy Up
16:59:20,1.56,100,Buy Up
16:59:20,1.56,4000,Buy Up
16:59:20,1.55,2200,Sell Down
16:59:20,1.55,46500,Sell Down
16:59:19,1.55,2900,Sell Down
16:59:19,1.55,11500,Sell Down
16:59:19,1.55,100,Sell Down
16:59:19,1.55,100,Sell Down
16:59:19,1.55,100,Sell Down
16:59:19,1.55,2500,Sell Down
16:59:19,1.55,100,Sell Down
16:59:19,1.55,1600,Sell Down
16:59:19,1.55,1400,Sell Down
16:59:18,1.56,5000,Buy Up
16:59:17,1.55,2000,Sell Down
16:59:17,1.55,200,Sell Down
16:59:16,1.56,8000,Buy Up
16:59:16,1.56,500,Buy Up
16:59:12,1.56,9900,Buy Up
16:59:11,1.55,9800,Sell Down
16:59:11,1.55,100,Sell Down
16:59:11,1.55,200,Sell Down
16:59:11,1.55,100,Sell Down
16:59:11,1.55,1700,Sell Down
16:59:11,1.55,900,Sell Down
16:59:11,1.56,1800,Buy Up
16:59:09,1.55,5000,Sell Down
16:59:09,1.56,1000,Buy Up
16:59:08,1.56,12600,Buy Up
16:59:08,1.56,500,Buy Up
16:59:08,1.55,5000,Sell Down
16:59:05,1.56,100,Buy Up
16:59:04,1.55,1400,Sell Down
16:59:02,1.55,13400,Sell Down
16:59:01,1.55,300,Sell Down
16:59:01,1.55,2900,Sell Down
16:59:01,1.55,100,Sell Down
16:59:00,1.55,200,Sell Down
16:59:00,1.55,200,Sell Down
16:59:00,1.56,400,Buy Up
16:58:59,1.56,100,Buy Up
16:58:58,1.56,500,Buy Up
16:58:55,1.55,10500,Sell Down
16:58:52,1.56,300,Buy Up
16:58:51,1.56,1900,Buy Up
16:58:50,1.55,3100,Sell Down
16:58:50,1.55,6300,Sell Down
16:58:50,1.55,100,Sell Down
16:58:50,1.55,3600,Sell Down
16:58:48,1.56,2100,Buy Up
16:58:48,1.56,900,Buy Up
16:58:47,1.55,1400,Sell Down
16:58:47,1.55,100,Sell Down
16:58:47,1.55,1400,Sell Down
16:58:46,1.55,8600,Sell Down
16:58:46,1.55,100,Sell Down
16:58:46,1.55,100,Sell Down
16:58:46,1.55,22100,Sell Down
16:58:45,1.55,3600,Sell Down
16:58:44,1.56,400,Buy Up
16:58:42,1.56,10000,Buy Up
16:58:38,1.55,4300,Sell Down
16:58:38,1.55,5100,Sell Down
16:58:35,1.56,300,Buy Up
16:58:35,1.55,900,Sell Down
16:58:35,1.55,100,Sell Down
16:58:35,1.55,1000,Sell Down
